"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","Hide","Notes"
"azure-cognitiveservices-nspkg","3.0.1","","Cognitive Services Namespace Package","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/master/sdk/cognitiveservices/azure-cognitiveservices-nspkg/","NA","NA","","",""
"azure-cognitiveservices-personalizer","0.1.0","","Personalizer","Personalizer","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-autosuggest","0.2.0","","Auto Suggest","Auto Suggest","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-customimagesearch","0.2.0","","Custom Image Search","Custom Image Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-customsearch","0.3.0","","Custom Search","Custom Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-entitysearch","2.0.0","","Entity Search","Entity Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-imagesearch","2.0.0","","Image Search","Image Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-newssearch","2.0.0","","News Search","News Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-nspkg","3.0.1","","Cognitive Services Search Namespace Package","Cognitive Services","https://github.com/Azure/azure-sdk-for-python/tree/azure-cognitiveservices-search-nspkg_3.0.1/azure-cognitiveservices-search-nspkg/","NA","NA","","",""
"azure-cognitiveservices-search-videosearch","2.0.0","","Video Search","Video Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-search-visualsearch","0.2.0","","Visual Search","Visual Search","https://github.com/Azure/azure-sdk-for-python/tree/azure-cognitiveservices-search-visualsearch_0.2.0/azure-cognitiveservices-search-visualsearch/","NA","","","",""
"azure-cognitiveservices-search-websearch","2.0.0","","Web Search","Web Search","cognitiveservices","NA","","","",""
"azure-cognitiveservices-vision-computervision","0.7.0","","Computer Vision","Computer Vision","cognitiveservices","NA","","","",""
"azure-cognitiveservices-vision-contentmoderator","1.0.0","","Content Moderator","Content Moderator","https://github.com/Azure/azure-sdk-for-python/tree/azure-cognitiveservices-vision-contentmoderator_1.0.0/azure-cognitiveservices-vision-contentmoderator/","NA","","","",""
"azure-cognitiveservices-vision-customvision","3.0.0","","Custom Vision","Custom Vision","cognitiveservices","","","","",""
"azure-cognitiveservices-vision-face","0.4.1","","Vision Face","Vision Face","cognitiveservices","","","","",""
